outcome,event_time,grupo,media,n,base,norm
pdi,-8,tratadas (<2 km),636.04214559387,522,629.155172413793,6.88697318007655
pdi,-7,tratadas (<2 km),634.55938697318,522,629.155172413793,5.4042145593869
pdi,-6,tratadas (<2 km),637.425287356322,522,629.155172413793,8.27011494252872
pdi,-5,tratadas (<2 km),641.128352490421,522,629.155172413793,11.9731800766283
pdi,-4,tratadas (<2 km),640.155172413793,522,629.155172413793,11
pdi,-3,tratadas (<2 km),641.641762452107,522,629.155172413793,12.4865900383141
pdi,-2,tratadas (<2 km),636.98275862069,522,629.155172413793,7.82758620689651
pdi,-1,tratadas (<2 km),629.155172413793,522,629.155172413793,0
pdi,0,tratadas (<2 km),627.883141762452,522,629.155172413793,-1.27203065134108
pdi,1,tratadas (<2 km),627.522988505747,522,629.155172413793,-1.63218390804605
pdi,2,tratadas (<2 km),625.241379310345,522,629.155172413793,-3.91379310344826
pdi,3,tratadas (<2 km),628.212643659004,522,629.155172413793,-0.94252875478935
pdi,4,tratadas (<2 km),629.208812260537,522,629.155172413793,0.0536398467432946
pdi,5,tratadas (<2 km),627.298850574713,522,629.155172413793,-1.85632183908047
pdi,6,tratadas (<2 km),628.902298850575,522,629.155172413793,-0.252873563218373
pdi,7,tratadas (<2 km),632.091954022989,522,629.155172413793,2.93678160919535
pdi,8,tratadas (<2 km),630.668582375479,522,629.155172413793,1.51340996168574
pdi,9,tratadas (<2 km),634.436781609195,522,629.155172413793,5.28160919540221
pdi,10,tratadas (<2 km),642.493282149712,521,629.155172413793,13.3381097359189
pdi,11,tratadas (<2 km),640.195777351248,521,629.155172413793,11.0406049374544
pdi,12,tratadas (<2 km),635.468330134357,521,629.155172413793,6.31315772056382
pdi,-12,"control (>5 km, misma region)",696.839284183455,9332,719.669238187078,-22.8299540036234
pdi,-11,"control (>5 km, misma region)",698.579438551377,9333,719.669238187078,-21.0897996357013
pdi,-10,"control (>5 km, misma region)",698.44829064409,9331,719.669238187078,-21.2209475429885
pdi,-9,"control (>5 km, misma region)",699.073936341228,9331,719.669238187078,-20.5953018458499
pdi,-8,"control (>5 km, misma region)",700.595766798843,9331,719.669238187078,-19.0734713882356
pdi,-7,"control (>5 km, misma region)",704.809141571107,9331,719.669238187078,-14.8600966159711
pdi,-6,"control (>5 km, misma region)",707.826280814577,9330,719.669238187078,-11.8429573725015
pdi,-5,"control (>5 km, misma region)",712.468224198907,9331,719.669238187078,-7.20101398817121
pdi,-4,"control (>5 km, misma region)",715.996045439931,9331,719.669238187078,-3.6731927471468
pdi,-3,"control (>5 km, misma region)",719.556900985855,9332,719.669238187078,-0.112337201222999
pdi,-2,"control (>5 km, misma region)",720.479543506215,9332,719.669238187078,0.810305319137001
pdi,-1,"control (>5 km, misma region)",719.669238187078,9333,719.669238187078,0
pdi,0,"control (>5 km, misma region)",720.223210458637,9332,719.669238187078,0.553972271558791
pdi,1,"control (>5 km, misma region)",722.86144449207,9332,719.669238187078,3.19220630499217
pdi,2,"control (>5 km, misma region)",725.217913006214,9334,719.669238187078,5.54867481913573
pdi,3,"control (>5 km, misma region)",727.450241080039,9333,719.669238187078,7.78100289296037
pdi,4,"control (>5 km, misma region)",729.911808829833,9332,719.669238187078,10.2425706427547
pdi,5,"control (>5 km, misma region)",731.224233983287,9334,719.669238187078,11.5549957962088
pdi,6,"control (>5 km, misma region)",732.097610628951,9333,719.669238187078,12.428372441873
pdi,7,"control (>5 km, misma region)",732.91677557579,9335,719.669238187078,13.2475373887119
pdi,8,"control (>5 km, misma region)",735.914605657951,9332,719.669238187078,16.245367470873
pdi,9,"control (>5 km, misma region)",745.650273224044,9333,719.669238187078,25.9810350369656
pdi,10,"control (>5 km, misma region)",750.367559460039,9334,719.669238187078,30.6983212729605
pdi,11,"control (>5 km, misma region)",755.147857295907,9334,719.669238187078,35.4786191088293
pdi,12,"control (>5 km, misma region)",755.309225329476,9333,719.669238187078,35.6399871423979
m93,7,tratadas (<2 km),75.1425818882469,519,74.7717021276598,0.370879760587044
m93,8,tratadas (<2 km),74.6402697495186,519,74.7717021276598,-0.131432378141199
m93,9,tratadas (<2 km),75.1468208092488,519,74.7717021276598,0.37511868158893
m93,10,tratadas (<2 km),75.2483622350676,519,74.7717021276598,0.476660107407739
m93,11,tratadas (<2 km),75.3668593448942,519,74.7717021276598,0.595157217234373
m93,12,tratadas (<2 km),76.6289017341042,519,74.7717021276598,1.85719960644437
m93,7,"control (>5 km, misma region)",97.5516490765212,9096,94.0328770328806,3.51877204364057
m93,8,"control (>5 km, misma region)",97.3539696503253,9094,94.0328770328806,3.32109261744466
m93,9,"control (>5 km, misma region)",97.7820890599266,9095,94.0328770328806,3.74921202704601
m93,10,"control (>5 km, misma region)",98.372878188216,9096,94.0328770328806,4.34000115533537
m93,11,"control (>5 km, misma region)",98.8508631116007,9095,94.0328770328806,4.81798607872011
m93,12,"control (>5 km, misma region)",99.7573947542455,9074,94.0328770328806,5.7245177213649
m93,6,tratadas (<2 km),76.1470703125001,512,74.7717021276598,1.37536818484031
m93,6,"control (>5 km, misma region)",97.7053430883532,9021,94.0328770328806,3.67246605547261
m93,5,"control (>5 km, misma region)",97.4276912660846,8862,94.0328770328806,3.39481423320395
m93,4,tratadas (<2 km),74.94055666004,503,74.7717021276598,0.168854532380195
m93,5,tratadas (<2 km),75.2882703777338,503,74.7717021276598,0.516568250073931
m93,4,"control (>5 km, misma region)",96.7889680923339,8838,94.0328770328806,2.75609105945331
m93,3,tratadas (<2 km),74.7766467065871,501,74.7717021276598,0.00494457892727951
m93,3,"control (>5 km, misma region)",96.4684473744081,8798,94.0328770328806,2.43557034152752
m93,2,"control (>5 km, misma region)",95.5081869330619,8709,94.0328770328806,1.47530990018126
m93,1,tratadas (<2 km),74.3282208588959,489,74.7717021276598,-0.443481268763918
m93,2,tratadas (<2 km),74.3862985685072,489,74.7717021276598,-0.385403559152593
m93,1,"control (>5 km, misma region)",94.372129448352,8683,94.0328770328806,0.339252415471407
m93,0,"control (>5 km, misma region)",94.1326188257256,8584,94.0328770328806,0.0997417928450233
m93,-1,tratadas (<2 km),74.7717021276598,470,74.7717021276598,0
m93,0,tratadas (<2 km),74.9174468085107,470,74.7717021276598,0.145744680850896
m93,-1,"control (>5 km, misma region)",94.0328770328806,8547,94.0328770328806,0
m93,-2,"control (>5 km, misma region)",93.3955937794558,8488,94.0328770328806,-0.637283253424783
m93,-2,tratadas (<2 km),74.6449893390194,469,74.7717021276598,-0.126712788640432
m93,-3,tratadas (<2 km),74.7075107296139,466,74.7717021276598,-0.064191398045935
m93,-3,"control (>5 km, misma region)",92.9345382963546,8382,94.0328770328806,-1.09833873652597
m93,-4,"control (>5 km, misma region)",92.9616956942448,8268,94.0328770328806,-1.07118133863577
m93,-4,tratadas (<2 km),74.8933628318585,452,74.7717021276598,0.121660704198646
m93,-5,"control (>5 km, misma region)",92.9396274653051,8214,94.0328770328806,-1.09324956757548
m93,-5,tratadas (<2 km),75.2369266055047,436,74.7717021276598,0.46522447784487
m93,-6,tratadas (<2 km),76.3369767441863,430,74.7717021276598,1.56527461652645
m93,-6,"control (>5 km, misma region)",92.8861341932297,8063,94.0328770328806,-1.14674283965087
m93,-7,tratadas (<2 km),76.6267500000001,400,74.7717021276598,1.85504787234029
m93,-7,"control (>5 km, misma region)",92.5556557064899,7877,94.0328770328806,-1.47722132639075
m93,-8,"control (>5 km, misma region)",92.1520045965284,7832,94.0328770328806,-1.88087243635221
m93,-9,tratadas (<2 km),75.5801007556676,397,74.7717021276598,0.808398628007723
m93,-8,tratadas (<2 km),75.83879093199,397,74.7717021276598,1.06708880433013
m93,-9,"control (>5 km, misma region)",91.9995519139698,7811,94.0328770328806,-2.0333251189108
m93,-10,tratadas (<2 km),75.4894329896908,388,74.7717021276598,0.717730862030948
m93,-10,"control (>5 km, misma region)",91.3220249581927,7773,94.0328770328806,-2.71085207468786
m93,-12,tratadas (<2 km),74.1883116883117,385,74.7717021276598,-0.583390439348108
m93,-11,tratadas (<2 km),74.6353246753247,385,74.7717021276598,-0.136377452335125
m93,-12,"control (>5 km, misma region)",90.1626592149759,7694,94.0328770328806,-3.87021781790467
m93,-11,"control (>5 km, misma region)",90.6933307332331,7692,94.0328770328806,-3.33954629964754
mdi,7,tratadas (<2 km),83.8316091954025,522,82.9473572938689,0.88425190153356
mdi,8,tratadas (<2 km),84.450766283525,522,82.9473572938689,1.50340898965611
mdi,9,tratadas (<2 km),85.2,522,82.9473572938689,2.25264270613107
mdi,10,tratadas (<2 km),85.4117082533589,521,82.9473572938689,2.46435095948998
mdi,11,tratadas (<2 km),85.7923224568138,521,82.9473572938689,2.84496516294487
mdi,12,tratadas (<2 km),85.9735124760076,521,82.9473572938689,3.02615518213872
mdi,7,"control (>5 km, misma region)",101.043685056244,9335,98.2550887978139,2.78859625842976
mdi,8,"control (>5 km, misma region)",101.364787826835,9332,98.2550887978139,3.1096990290209
mdi,9,"control (>5 km, misma region)",101.90483231544,9333,98.2550887978139,3.64974351762608
mdi,10,"control (>5 km, misma region)",102.304038997214,9334,98.2550887978139,4.04895019940051
mdi,11,"control (>5 km, misma region)",102.865984572531,9334,98.2550887978139,4.61089577471674
mdi,12,"control (>5 km, misma region)",103.67018693597,9308,98.2550887978139,5.41509813815617
mdi,6,tratadas (<2 km),83.1522330097088,515,82.9473572938689,0.204875715839876
mdi,6,"control (>5 km, misma region)",100.761903218839,9258,98.2550887978139,2.506814421025
mdi,5,"control (>5 km, misma region)",100.646009234831,9096,98.2550887978139,2.39092043701714
mdi,4,tratadas (<2 km),82.2415019762847,506,82.9473572938689,-0.705855317584266
mdi,5,tratadas (<2 km),82.0926877470356,506,82.9473572938689,-0.854669546833335
mdi,4,"control (>5 km, misma region)",100.068879576535,9068,98.2550887978139,1.81379077872074
mdi,3,tratadas (<2 km),82.5452380753968,504,82.9473572938689,-0.40211921847208
mdi,3,"control (>5 km, misma region)",99.8528838702546,9033,98.2550887978139,1.59779507244068
mdi,2,"control (>5 km, misma region)",99.4928802950744,8947,98.2550887978139,1.2377914972605
mdi,1,tratadas (<2 km),82.9325203252034,492,82.9473572938689,-0.0148369686655485
mdi,2,tratadas (<2 km),82.6294715447156,492,82.9473572938689,-0.317885749153291
mdi,1,"control (>5 km, misma region)",98.8509586276502,8919,98.2550887978139,0.595869829836275
mdi,0,"control (>5 km, misma region)",98.7001020639612,8818,98.2550887978139,0.445013266147313
mdi,-1,tratadas (<2 km),82.9473572938689,473,82.9473572938689,0
mdi,0,tratadas (<2 km),83.0162790697675,473,82.9473572938689,0.068921775898545
mdi,-1,"control (>5 km, misma region)",98.2550887978139,8784,98.2550887978139,0
mdi,-2,"control (>5 km, misma region)",97.7609328443742,8726,98.2550887978139,-0.494155953439673
mdi,-2,tratadas (<2 km),82.9813559322034,472,82.9473572938689,0.033998638334495
mdi,-3,tratadas (<2 km),82.928418803419,468,82.9473572938689,-0.0189384904499548
mdi,-3,"control (>5 km, misma region)",97.4063232393568,8619,98.2550887978139,-0.848765558457146
mdi,-4,"control (>5 km, misma region)",97.0052928722694,8502,98.2550887978139,-1.24979592554455
mdi,-4,tratadas (<2 km),83.0321585903086,454,82.9473572938689,0.0848012964396361
