tau,est,se,p,n_obs,n_trat,radio,tipo,outcome,ci_low,ci_high,radio_f
0.1,-0.327560635104627,2.0875554049185,0.875424088659607,190434,380,1,precio,p93,-4.41916922874489,3.76404795853563,Entrada a [0; 1] km
0.5,-2.55555310268536,0.881323850505648,0.00401806358355149,192757,385,1,precio,pdi,-4.28294784967643,-0.828158355694291,Entrada a [0; 1] km
0.55,-2.02304227030082,0.834265498352452,0.0159155035760332,192757,385,1,precio,pdi,-3.65820264707163,-0.387881893530015,Entrada a [0; 1] km
0.6,-1.31068779303377,0.767527230172236,0.0887557331023653,192757,385,1,precio,pdi,-2.81504116417135,0.193665578103817,Entrada a [0; 1] km
0.65,-1.18236453660077,0.838840521628553,0.15974124895814,192757,385,1,precio,pdi,-2.82649195899273,0.461762885791196,Entrada a [0; 1] km
0.7,-0.645448844546708,0.851360609069071,0.448977715495555,192757,385,1,precio,pdi,-2.31411563832209,1.02321794922867,Entrada a [0; 1] km
0.75,0.0556944815431332,0.940883734031858,0.952838101147631,192757,385,1,precio,pdi,-1.78843763715931,1.89982660024558,Entrada a [0; 1] km
0.8,-0.00916732089626042,1.04401340732053,0.992999964190556,192757,385,1,precio,pdi,-2.05543359924449,2.03709895745197,Entrada a [0; 1] km
0.85,-0.127619051973196,0.868976841216369,0.883342512302113,192757,385,1,precio,pdi,-1.83081366075728,1.57557555681089,Entrada a [0; 1] km
0.9,-1.65681847643064,1.21158603076547,0.172523251771035,192757,385,1,precio,pdi,-4.03152709673097,0.717890143869684,Entrada a [0; 1] km
0.1,-4.54544402238257,1.59031860500918,0.00457033878463093,157363,380,1,margen,m93,-7.66246848820056,-1.42841955656458,Entrada a [0; 1] km
0.15,-3.80099613609768,1.43925617578604,0.00871719338257888,157363,380,1,margen,m93,-6.62193824063832,-0.980054031557037,Entrada a [0; 1] km
0.2,-4.34336489021991,1.36881609250967,0.00167087704730626,157363,380,1,margen,m93,-7.02624443153887,-1.66048534890096,Entrada a [0; 1] km
0.25,-4.99158341367362,1.47079029720583,0.00078562516096902,157363,380,1,margen,m93,-7.87433239619706,-2.10883443115018,Entrada a [0; 1] km
0.3,-5.22663380860985,1.47301792367203,0.000452396531623883,157363,380,1,margen,m93,-8.11374893900704,-2.33951867821266,Entrada a [0; 1] km
0.35,-4.79418565212532,1.47733566049443,0.00131177777976947,157363,380,1,margen,m93,-7.6897635466944,-1.89860775755624,Entrada a [0; 1] km
0.4,-4.49717599237485,1.30497277876915,0.000652956412642967,157363,380,1,margen,m93,-7.0549226387624,-1.93942934598731,Entrada a [0; 1] km
0.45,-3.97327043080907,1.22147327819462,0.00127800183575087,157363,380,1,margen,m93,-6.36735805607052,-1.57918280554763,Entrada a [0; 1] km
0.5,-3.37725416995146,1.2753741124413,0.00854041321343953,157363,380,1,margen,m93,-5.8769874303364,-0.877520909566524,Entrada a [0; 1] km
0.55,-1.78033170928099,1.2135222957939,0.143442227448277,157363,380,1,margen,m93,-4.15883540903702,0.598171990475048,Entrada a [0; 1] km
0.6,-0.675574110942885,1.16982869353702,0.564052501313501,157363,380,1,margen,m93,-2.96843835027545,1.61729012838968,Entrada a [0; 1] km
0.65,1.46314681491538,1.48533999173673,0.325419287206564,157363,380,1,margen,m93,-1.4481195688886,4.37441319871937,Entrada a [0; 1] km
0.7,1.04887454575402,1.30683515010975,0.422861669831794,157363,380,1,margen,m93,-1.51252234846108,3.61027143996913,Entrada a [0; 1] km
0.75,-0.649303161277482,1.04283011091811,0.534014979247403,157363,380,1,margen,m93,-2.69325017867698,1.39464385612201,Entrada a [0; 1] km
0.8,-2.26045471486675,0.980821583302504,0.0218947593794417,157363,380,1,margen,m93,-4.18286501813966,-0.338044411593843,Entrada a [0; 1] km
0.85,-0.504728978634862,1.41078462943093,0.720780535653242,157363,380,1,margen,m93,-3.26986685231949,2.26040889504976,Entrada a [0; 1] km
0.9,-1.88369758708363,1.15819872275096,0.104953856889105,157363,380,1,margen,m93,-4.15376708367551,0.386371909508257,Entrada a [0; 1] km
0.1,-9.58004543138268,2.10559236740152,7.88350494007086e-06,158918,385,1,margen,mdi,-13.7070064714897,-5.4530843912757,Entrada a [0; 1] km
0.15,-10.0048243411277,2.21349317755343,8.99809674714206e-06,158918,385,1,margen,mdi,-14.3432709691324,-5.66637771312295,Entrada a [0; 1] km
0.2,-7.94195102024414,1.84634490010545,2.31681580322841e-05,158918,385,1,margen,mdi,-11.5607870244508,-4.32311501603747,Entrada a [0; 1] km
0.25,-5.77008865542116,1.18773396473281,1.9366153311454e-06,158918,385,1,margen,mdi,-8.09804722629747,-3.44213008454486,Entrada a [0; 1] km
0.3,-4.03951935977249,1.13138938007731,0.000416627653240248,158918,385,1,margen,mdi,-6.25704254472402,-1.82199617482095,Entrada a [0; 1] km
0.35,-2.73934985487587,1.21758222296489,0.025204527353784,158918,385,1,margen,mdi,-5.12581101188705,-0.352888697864696,Entrada a [0; 1] km
0.4,-2.32848828027944,1.23193900616675,0.0597347726446155,158918,385,1,margen,mdi,-4.74308873236627,0.0861121718073932,Entrada a [0; 1] km
0.45,-1.96633553327188,1.33569851051432,0.142059978587628,158918,385,1,margen,mdi,-4.58430461387995,0.651633547336187,Entrada a [0; 1] km
