tipo,outcome,control,event_time,estimate,se,ci_low,ci_high
precio,p97,anillo,-3,-0.00257379178807119,0.0811484339187753,-0.161624722268871,0.156477138692728
precio,p97,anillo,-2,-0.068054686972491,0.0492839829241663,-0.164651293503857,0.0285419195588748
precio,p97,anillo,-1,0,0,0,0
precio,p97,anillo,0,-0.0224660454521874,0.0664757097432078,-0.152758436548875,0.1078263456445
precio,p97,anillo,1,0.051543426626089,0.0887956538094989,-0.122496054840529,0.225582908092707
precio,p97,anillo,2,0.00604122425184144,0.0925755525922674,-0.175406858829003,0.187489307332686
precio,p97,anillo,3,-0.0653219336434747,0.0945866905189867,-0.250711847060689,0.120067979773739
precio,p97,anillo,4,-0.0455100220703645,0.0960301106454066,-0.233729038935362,0.142708994794633
precio,p97,anillo,5,-0.0850755421051794,0.095343869678342,-0.27194952667473,0.101798442464371
precio,p97,anillo,6,-0.0227058644504969,0.101016251554841,-0.220697717497986,0.175285988596992
precio,p97,anillo,7,-0.0882381037771016,0.101279872344654,-0.286746653572623,0.11027044601842
precio,p97,anillo,8,-0.1426027873127,0.105161423905295,-0.348719178167078,0.063513603541678
precio,p97,anillo,9,-0.0546417622289512,0.101070910543912,-0.252740746895019,0.143457222437116
precio,p97,anillo,10,-0.125092214541744,0.102338918813258,-0.32567649541573,0.0754920663322414
precio,p97,anillo,11,-0.142225510311392,0.104665132652723,-0.347369170310728,0.0629181496879453
precio,p97,anillo,12,-0.189921524346807,0.112295486043517,-0.4100206769921,0.0301776282984866
precio,p97,lejano,-12,0.0241780317321148,0.0849850420070395,-0.142392650601683,0.190748714065912
precio,p97,lejano,-11,0.0552035084699866,0.080035430893409,-0.101665936081095,0.212072953021068
precio,p97,lejano,-10,0.0947166511716768,0.0752424818510283,-0.0527586132563387,0.242191915599692
precio,p97,lejano,-9,0.0823933004665335,0.0733235520171227,-0.0613208614870269,0.226107462420094
precio,p97,lejano,-8,0.0646768228161173,0.0725973119605361,-0.0776139086265334,0.206967554258768
precio,p97,lejano,-7,0.124350010079367,0.0739647246501016,-0.0206208502348317,0.269320870393567
precio,p97,lejano,-6,0.0619017034336802,0.0581993296972629,-0.0521689827729551,0.175972389640316
precio,p97,lejano,-5,0.0488308390736197,0.0563484590549599,-0.0616121406741016,0.159273818821341
precio,p97,lejano,-4,0.0390608593460734,0.0473431691270751,-0.0537317521429939,0.131853470835141
precio,p97,lejano,-3,0.0850792721255574,0.0427161825477297,0.00135555433200715,0.168802989919108
precio,p97,lejano,-2,-0.00745925369809485,0.0329054776712758,-0.0719539899337953,0.0570354825376057
precio,p97,lejano,-1,0,0,0,0
precio,p97,lejano,0,-0.0817156926010026,0.0403605036015933,-0.160822279660125,-0.00260910554187978
precio,p97,lejano,1,-0.14706210912497,0.066940761854107,-0.27826600235902,-0.01585821589092
precio,p97,lejano,2,-0.173137701074069,0.077525783761559,-0.325088237246725,-0.0211871649014138
precio,p97,lejano,3,-0.177699313505648,0.0800982124493141,-0.334691809906304,-0.0207068171049929
precio,p97,lejano,4,-0.175891097272189,0.0902255773400978,-0.352733228858781,0.000951034314402244
precio,p97,lejano,5,-0.184263747703155,0.0993778117438169,-0.379044258721036,0.010516763314726
precio,p97,lejano,6,-0.181139679700783,0.0988765283228779,-0.374937675213624,0.0126583158120575
precio,p97,lejano,7,-0.259211145310438,0.111215710133963,-0.477193937173006,-0.0412283534478706
precio,p97,lejano,8,-0.310429123933192,0.106476969202631,-0.519123983570348,-0.101734264296035
precio,p97,lejano,9,-0.25875817439143,0.0956484582668486,-0.446229152594453,-0.0712871961884066
precio,p97,lejano,10,-0.313749276407044,0.0965967369491145,-0.503078880827309,-0.12441967198678
precio,p97,lejano,11,-0.300326687359603,0.104919422208845,-0.50596875488894,-0.0946846198302661
precio,p97,lejano,12,-0.332009522821025,0.11058871368908,-0.548763401651622,-0.115255643990428
precio,pdi,anillo,-12,0.241178738054964,0.107804483017164,0.0298819513413222,0.452475524768606
precio,pdi,anillo,-11,0.100309250625865,0.125621133044305,-0.145908170140974,0.346526671392704
precio,pdi,anillo,-10,0.0954070525208697,0.122778837241952,-0.145239468473356,0.336053573515096
precio,pdi,anillo,-9,0.0146185723013197,0.11798668674271,-0.216635333714393,0.245872478317032
precio,pdi,anillo,-8,0.00517875145949153,0.112747976001158,-0.215807281502778,0.226164784421761
precio,pdi,anillo,-7,0.0768445596109905,0.10837822232009,-0.135576756136385,0.289265875358366
precio,pdi,anillo,-6,0.0478039995577267,0.101374427934657,-0.150889879194202,0.246497878309655
precio,pdi,anillo,-5,0.162639310198739,0.099440281391583,-0.0322636413287638,0.357542261726242
precio,pdi,anillo,-4,0.148173612360489,0.0770857812496776,-0.00291451888887934,0.299261743609857
precio,pdi,anillo,-3,0.107521363019408,0.0787346249421209,-0.0467985018671493,0.261841227905965
precio,pdi,anillo,-2,0.0666525963811644,0.0638582846207025,-0.0585096414754124,0.191814834237741
precio,pdi,anillo,-1,0,0,0,0
precio,pdi,anillo,0,0.0124613632754439,0.0817490345568816,-0.147766744456044,0.172689471006932
precio,pdi,anillo,1,0.106594601074127,0.116809977195649,-0.122352954229345,0.3355421563776
precio,pdi,anillo,2,0.0394237824674765,0.0941782578590601,-0.145165602936281,0.224013167871234
precio,pdi,anillo,3,-0.0989630669215253,0.0875223496555713,-0.270506872246445,0.0725807384033945
precio,pdi,anillo,4,-0.0452242925020614,0.12954180457105,-0.29912622946132,0.208677644457197
precio,pdi,anillo,5,-0.177375685428321,0.100076913537426,-0.373526435961676,0.0187750651050341
