horizon,group,estimate,se,dimension,ci_low,ci_high
25,93,0.686855257010838,0.00533580326889048,combustible,0.676397082603812,0.697313431417863
26,93,0.690549532465535,0.005514727734862,combustible,0.679740666105205,0.701358398825864
0,97,0.575925680373582,0.0071366771582834,combustible,0.561937793143347,0.589913567603817
1,97,0.629978786286596,0.00676478033863654,combustible,0.616719816822869,0.643237755750324
2,97,0.647983201598672,0.00645020124952573,combustible,0.635340807149601,0.660625596047742
3,97,0.659319043538909,0.00626794855094891,combustible,0.647033864379049,0.671604222698769
4,97,0.665100232956477,0.00613447404843983,combustible,0.653076663821535,0.677123802091419
5,97,0.668090110792728,0.00601937796389312,combustible,0.656292129983498,0.679888091601959
6,97,0.670223038664661,0.00590466631019301,combustible,0.658649892696683,0.68179618463264
7,97,0.669324249889947,0.00575943164917899,combustible,0.658035763857557,0.680612735922338
8,97,0.671302274117996,0.00568416148334197,combustible,0.660161317610645,0.682443230625346
9,97,0.676614369914928,0.00556685153288162,combustible,0.66570334091048,0.687525398919376
10,97,0.67516144980628,0.00554416983634207,combustible,0.66429487692705,0.68602802268551
11,97,0.675382814206333,0.00557741717005596,combustible,0.664451076553023,0.686314551859642
12,97,0.666059768533135,0.00606348116919337,combustible,0.654175345441515,0.677944191624753
13,97,0.66590340700241,0.00620337859662199,combustible,0.653744784953031,0.678062029051789
14,97,0.664833244482844,0.00608708676825168,combustible,0.652902554417071,0.676763934548617
15,97,0.664426821583034,0.00594657312271605,combustible,0.65277153826251,0.676082104903557
16,97,0.676514355327582,0.00568536955630477,combustible,0.665371030997225,0.687657679657939
17,97,0.693815246394365,0.00548003852409793,combustible,0.683074370887133,0.704556121901597
18,97,0.687832878139651,0.00599757888447421,combustible,0.676077623526081,0.69958813275322
19,97,0.660482413948326,0.00568660526861257,combustible,0.649336667621846,0.671628160274807
20,97,0.650828501169045,0.0059596015870487,combustible,0.63914768205843,0.662509320279661
21,97,0.660405527061416,0.0052620031972114,combustible,0.650092000794882,0.670719053327951
22,97,0.659790611482877,0.00539868617232518,combustible,0.64920918658512,0.670372036380635
23,97,0.654657794286821,0.00539038344291908,combustible,0.644092642738699,0.665222945834942
24,97,0.663899901705891,0.00524054304097073,combustible,0.653628437345588,0.674171366066193
25,97,0.665501061311578,0.00556543439881718,combustible,0.654592809889896,0.676409312733259
26,97,0.662670504141743,0.00570316977569942,combustible,0.651492291381372,0.673848716902114
0,di,0.547196696655512,0.00678770321022453,combustible,0.533892798363472,0.560500594947552
1,di,0.604154859070809,0.00636209264896553,combustible,0.591685157478837,0.616624560662782
2,di,0.622682820955104,0.00606255108497768,combustible,0.610800220828547,0.63456542108166
3,di,0.631128397196515,0.00588766331405221,combustible,0.619588577100973,0.642668217292057
4,di,0.642097743387887,0.00567472421554571,combustible,0.630975283925418,0.653220202850357
5,di,0.64813441265626,0.00553715717593555,combustible,0.637281584591426,0.658987240721093
