outcome,estimador,prob,qtt,se,li_pw,ls_pw,li,ls
p93,Callaway-Li,0.9,-0.82273506726699,0.743285844717169,-2.27954855313107,0.634078418597092,-8.97920821809866,7.33373808356468
p93,Change-in-Changes,0.1,0.200127315287887,0.430778753666413,-0.644183527203335,1.04443815777911,-2.7969221206474,3.19717675122317
p93,Change-in-Changes,0.15,0,0.289721342862927,-0.567843397563917,0.567843397563917,-2.01567319607909,2.01567319607909
p93,Change-in-Changes,0.2,-0.310674746475115,0.341752806255248,-0.980497938350895,0.359148445400665,-2.68834552642669,2.06699603347646
p93,Change-in-Changes,0.25,0.1218450979826,0.245098192624791,-0.358538532237851,0.602228728203052,-1.58337224085516,1.82706243682036
p93,Change-in-Changes,0.3,-0.192261308052139,0.387073122427385,-0.950910687393276,0.566388071288999,-2.88523832551908,2.5007157094148
p93,Change-in-Changes,0.35,-0.509426084806137,0.280988144491178,-1.06015272809158,0.0413005584793091,-2.46433995366403,1.44548778405175
p93,Change-in-Changes,0.4,-0.307577778229643,0.226062244207817,-0.750651635141263,0.135496078681977,-1.88035664841032,1.26520109195104
p93,Change-in-Changes,0.45,-0.115596960472772,0.268817292898245,-0.642469172974887,0.411275252029344,-1.98583477789824,1.7546408569527
p93,Change-in-Changes,0.5,0.128756894347703,0.200453110283435,-0.264123982396866,0.521637771092271,-1.26585199941326,1.52336578810866
p93,Change-in-Changes,0.55,0.0166000117310432,0.164083046601179,-0.304996850080875,0.338196873542962,-1.12497207852905,1.15817210199114
p93,Change-in-Changes,0.6,0.020129710633114,0.135956582667648,-0.246340294856619,0.286599716122847,-0.925758627470254,0.966018048736482
p93,Change-in-Changes,0.65,-0.227913594647816,0.271258986270626,-0.759571438221088,0.303744248925455,-2.11513896236943,1.6593117730738
p93,Change-in-Changes,0.7,1.49627543462236,0.892777045230992,-0.253535420254468,3.24608628949919,-4.71502657842335,7.70757744766807
p93,Change-in-Changes,0.75,0.0790553268005851,1.88295069456334,-3.61146021920824,3.76957087280941,-13.0211643776398,13.179275031241
p93,Change-in-Changes,0.8,-0.719245747532909,1.29256835950667,-3.25263317972201,1.81414168465619,-9.71200883019677,8.27351733513095
p93,Change-in-Changes,0.85,0.12375218105899,0.324484127562624,-0.512225022518654,0.759729384636633,-2.13377552476328,2.38127988688126
p93,Change-in-Changes,0.9,-0.437668191819171,0.5259029067678,-1.46841894844898,0.593082564810643,-4.09652322278411,3.22118683914577
pdi,Callaway-Li,0.1,-0.798111376308611,0.58358230421636,-1.94191167458757,0.34568892197035,-7.58472286225203,5.9885001096348
pdi,Callaway-Li,0.15,-1.81315176907196,0.614059634280278,-3.01668653662115,-0.609617001522783,-8.95419106541724,5.32788752727331
pdi,Callaway-Li,0.2,-0.123338511590873,0.595753145759087,-1.29099322095512,1.04431619777338,-7.05148748489588,6.80481046171413
pdi,Callaway-Li,0.25,-1.48628024163054,0.472305116692691,-2.4119812600622,-0.560579223198877,-6.97882397823448,4.0062634949734
pdi,Callaway-Li,0.3,-1.31956506443544,0.435689580670808,-2.17350095098958,-0.465629177881296,-6.38629839600359,3.74716826713272
pdi,Callaway-Li,0.35,-0.477121445743592,0.3853406997591,-1.23237533904889,0.278132447561706,-4.95833617773969,4.00409328625251
pdi,Callaway-Li,0.4,-0.83451054641273,0.349712461955865,-1.51993437679106,-0.149086716034401,-4.90139638914609,3.23237529632063
pdi,Callaway-Li,0.45,-0.131742501853637,0.316266441160191,-0.751613336046267,0.488128332338993,-3.80967695375306,3.54619195004579
