horizon,sentido,het,estimate,se,n,dimension,ci_low,ci_high
10,sube,independiente,0.819614981302163,0.00570672434937694,180601,marca,0.808429801577384,0.830800161026942
11,sube,independiente,0.819938666453422,0.00574540474149776,180601,marca,0.808677673160086,0.831199659746757
12,sube,independiente,0.818352494870695,0.00613684531533444,180601,marca,0.80632427805264,0.830380711688751
0,baja,independiente,0.723960674613871,0.0109674186408628,133854,marca,0.70246453407778,0.745456815149962
1,baja,independiente,0.754673854119519,0.00838066422855762,133854,marca,0.738247752231546,0.771099956007492
2,baja,independiente,0.75207165408238,0.00826429677851095,133854,marca,0.735873632396498,0.768269675768261
3,baja,independiente,0.748682781547331,0.00785519999283177,133854,marca,0.733286589561381,0.764078973533281
4,baja,independiente,0.766471944567539,0.00759744652222022,133854,marca,0.751580949383987,0.781362939751091
5,baja,independiente,0.773437767621539,0.00743411004061779,133854,marca,0.758866911941928,0.78800862330115
6,baja,independiente,0.763706040643546,0.0078541572995557,133854,marca,0.748311892336416,0.779100188950675
7,baja,independiente,0.787730151140357,0.00680316776824639,133854,marca,0.774395942314594,0.80106435996612
8,baja,independiente,0.794567819913485,0.00646302638993087,133854,marca,0.78190028818922,0.807235351637749
9,baja,independiente,0.780311801011404,0.00692706817507772,133854,marca,0.766734747388252,0.793888854634556
10,baja,independiente,0.800608947410392,0.00627510978124455,133854,marca,0.788309732239153,0.812908162581631
11,baja,independiente,0.807120413460028,0.00601494985328734,133854,marca,0.795331111747585,0.818909715172472
12,baja,independiente,0.799331399376854,0.00623283923659144,133854,marca,0.787115034473135,0.811547764280574
0,sube,aramco_petrobras,0.525773628594224,0.0143053611346029,255388,marca,0.497735120770402,0.553812136418045
1,sube,aramco_petrobras,0.565823229342707,0.0142440630609233,255388,marca,0.537904865743297,0.593741592942116
2,sube,aramco_petrobras,0.591545035049068,0.0132962019547323,255388,marca,0.565484479217792,0.617605590880343
3,sube,aramco_petrobras,0.650202249431743,0.0108429117289326,255388,marca,0.628950142443035,0.67145435642045
4,sube,aramco_petrobras,0.710876009138335,0.00866517027710549,255388,marca,0.693892275395208,0.727859742881462
5,sube,aramco_petrobras,0.729429747251364,0.00741783177894483,255388,marca,0.714890796964632,0.743968697538096
6,sube,aramco_petrobras,0.725970443583055,0.0065523985471143,255388,marca,0.713127742430711,0.738813144735399
