brand_group_pre,event_week,median_margin,ci_low,ci_high,n_stations,baseline,d_median,d_low,d_high
shell,-1,128.8,112.3,154.8,311,127.89375,0.906250000000057,-15.5937499999999,26.9062500000001
shell,0,125.5,101,151.95,447,127.89375,-2.39375000000001,-26.89375,24.05625
shell,1,145.95,127.425,173.95,335,127.89375,18.05625,-0.468749999999943,46.05625
shell,3,132.45,107.675,160.8,444,127.89375,4.55624999999992,-20.2187500000001,32.9062499999999
shell,6,122.4,100.4,155.4,445,127.89375,-5.49374999999992,-27.4937499999999,27.5062500000001
shell,8,138.05,99.3000000000001,164.7,33,127.89375,10.1562500000001,-28.5937499999999,36.80625
shell,12,131.5,108,159.225,439,127.89375,3.60624999999999,-19.89375,31.33125
shell,13,132.8,86.15,173.5,283,127.89375,4.90624999999994,-41.74375,45.60625
shell,10,178.5,98.325,192.625,103,127.89375,50.60625,-29.56875,64.73125
shell,-14,136.25,118,166.775,283,127.89375,8.35624999999999,-9.89375000000001,38.88125
shell,-13,136.25,120.75,167.75,287,127.89375,8.35624999999999,-7.14375000000001,39.85625
shell,-8,132.925,116.075,157.825,326,127.89375,5.03125,-11.81875,29.93125
shell,2,155.45,125.2,186,167,127.89375,27.55625,-2.69374999999997,58.10625
shell,4,171.6,163.1,183.3,134,127.89375,43.7062499999999,35.2062499999999,55.40625
shell,14,171.5,142.7,178.8,37,127.89375,43.60625,14.80625,50.90625
shell,-4,129.975,112.2375,151.775,254,127.89375,2.08124999999995,-15.65625,23.88125
shell,9,122.4,100.15,153.4,444,127.89375,-5.49374999999992,-27.7437499999999,25.5062500000001
shell,7,127.2,78.6250000000001,157.5625,24,127.89375,-0.693749999999966,-49.26875,29.6687500000001
shell,-5,117.15,97.9,132.15,130,127.89375,-10.74375,-29.99375,4.25624999999997
shell,-11,136.425,127.025,143.3125,46,127.89375,8.53125,-0.868750000000034,15.41875
shell,5,126.2,98.6499999999999,143.075,34,127.89375,-1.69375000000008,-29.2437500000001,15.1812499999999
shell,11,69.4000000000001,26.3999999999999,86.9000000000001,12,127.89375,-58.4937499999999,-101.49375,-40.9937499999999
