tipo,grupo,outcome,event_time,estimate,se,ci_low,ci_high
precio,lejano,p97,2,-0.119987038952708,0.109328176629615,-0.334270265146753,0.0942961872413375
precio,lejano,p97,3,-0.1265603324003,0.116863887386297,-0.355613551677442,0.102492886876843
precio,lejano,p97,4,-0.183047949054377,0.150955588810909,-0.478920903123759,0.112825005015006
precio,lejano,pdi,-4,-0.0207522335517598,0.111799393068538,-0.239879043966095,0.198374576862576
precio,lejano,pdi,-3,0.050881326892129,0.0831772514123222,-0.112146085876022,0.213908739660281
precio,lejano,pdi,-2,0.0623306291543831,0.0596883786228742,-0.0546585929464504,0.179319851255216
precio,lejano,pdi,-1,0,0,0,0
precio,lejano,pdi,0,-0.372820309127017,0.103489467701386,-0.575659665821734,-0.1699809524323
precio,lejano,pdi,1,-0.372265882610767,0.0971405552900891,-0.562661370979342,-0.181870394242193
precio,lejano,pdi,2,-0.415974122457486,0.108187690994614,-0.62802199680693,-0.203926248108042
precio,lejano,pdi,3,-0.585926211465153,0.120565845232061,-0.822235268119993,-0.349617154810313
precio,lejano,pdi,4,-0.5867210730439,0.14991706894214,-0.880558528170495,-0.292883617917304
precio,nunca,p93,-4,0.0194763222969857,0.0841288197030806,-0.145416164321052,0.184368808915024
precio,nunca,p93,-3,-0.0293346223993554,0.0594680858904208,-0.14589207074458,0.0872228259458693
precio,nunca,p93,-2,0.0440472987037629,0.0590428142026739,-0.0716766171334779,0.159771214541004
precio,nunca,p93,-1,0,0,0,0
precio,nunca,p93,0,-0.222431956570853,0.0758960877287389,-0.371188288519181,-0.0736756246225251
precio,nunca,p93,1,-0.291181965503571,0.0834768141022817,-0.454796521144043,-0.127567409863099
precio,nunca,p93,2,-0.300967242076973,0.0933399179995108,-0.483913481356014,-0.118021002797932
precio,nunca,p93,3,-0.3212177596134,0.107624883787256,-0.532162531836422,-0.110272987390378
precio,nunca,p93,4,-0.413516037465675,0.118359196702617,-0.645500063002805,-0.181532011928545
precio,nunca,p95,-4,-0.00828771407061363,0.0979639805647986,-0.200297115977619,0.183721687836392
precio,nunca,p95,-3,0.00707978704521173,0.0743369554404347,-0.13862064561804,0.152780219708464
precio,nunca,p95,-2,0.0633138949341305,0.0595039857261218,-0.0533139170890684,0.179941706957329
precio,nunca,p95,-1,0,0,0,0
precio,nunca,p95,0,-0.26412709111395,0.076093185817948,-0.413269735317128,-0.114984446910772
precio,nunca,p95,1,-0.347147962338421,0.0854801634033773,-0.51468908260904,-0.179606842067802
precio,nunca,p95,2,-0.229311019157962,0.0943289601778029,-0.414195781106455,-0.044426257209468
precio,nunca,p95,3,-0.270625318851299,0.111506479998088,-0.489178019647552,-0.0520726180550464
precio,nunca,p95,4,-0.357185193639516,0.132524944993261,-0.616934085826308,-0.0974363014527239
precio,nunca,p97,-4,0.000723212451985352,0.124886990553359,-0.244055289032597,0.245501713936568
precio,nunca,p97,-3,-0.00447176373890547,0.0814179519379884,-0.164050949537363,0.155107422059552
precio,nunca,p97,-2,0.032864268339287,0.0727201187931003,-0.109667164495189,0.175395701173764
precio,nunca,p97,-1,0,0,0,0
precio,nunca,p97,0,-0.236065388842567,0.0593634573358191,-0.352417765220772,-0.119713012464361
precio,nunca,p97,1,-0.296423965471402,0.102746337537669,-0.497806787045233,-0.0950411438975703
precio,nunca,p97,2,-0.120676465201414,0.10413331391283,-0.32477776047056,0.0834248300677319
precio,nunca,p97,3,-0.148912826175178,0.109282161108942,-0.363105861948703,0.0652802095983484
precio,nunca,p97,4,-0.199313283077611,0.129349961650175,-0.452839207911953,0.0542126417567311
precio,nunca,pdi,-4,-0.0439375726890953,0.1032234311737,-0.246255497789547,0.158380352411357
precio,nunca,pdi,-3,0.0257949124196571,0.0761358740970012,-0.123431400810465,0.175021225649779
precio,nunca,pdi,-2,0.0466919855424089,0.0576180407689196,-0.0662393743646735,0.159623345449491
precio,nunca,pdi,-1,0,0,0,0
precio,nunca,pdi,0,-0.366062680777795,0.10374094666238,-0.56939493623606,-0.162730425319529
