radio,fuel,serie,bin,estimate,se,ci_low,ci_high
2 km,p93,max,3,-0.908057603937044,1.43433655770631,-3.71935725704141,1.90324204916732
2 km,p93,max,4,-0.8800310709723,1.71345014427401,-4.23839335374936,2.47833121180476
2 km,p93,media,-4,0.309644648993047,0.936254162206608,-1.5254135089319,2.144702806918
2 km,p93,media,-3,-0.0229135264772449,0.473486752972979,-0.950947562304283,0.905120509349793
2 km,p93,media,-2,0.476672525633379,0.434693957609063,-0.375327631280385,1.32867268254714
2 km,p93,media,-1,0,0,0,0
2 km,p93,media,0,-1.79425347129629,0.587719604585447,-2.94618389628376,-0.642323046308811
2 km,p93,media,1,-2.3886759114489,0.69392020360938,-3.74875951052329,-1.02859231237452
2 km,p93,media,2,-2.05675866074765,0.836962271920873,-3.69720471371256,-0.416312607782742
2 km,p93,media,3,-2.23690675468291,1.00598954502295,-4.2086462629279,-0.265167246437925
2 km,p93,media,4,-2.90671411729947,1.22302949124531,-5.30385192014028,-0.509576314458673
2 km,p93,min,-4,-0.17645188737179,1.08365239982571,-2.30041059103019,1.94750681628661
2 km,p93,min,-3,-0.695916196083181,0.794606189497553,-2.25334432749838,0.861511935332023
2 km,p93,min,-2,0.378667696115391,0.573725448210197,-0.745834182376595,1.50316957460738
2 km,p93,min,-1,0,0,0,0
2 km,p93,min,0,-3.53519161533955,0.770629573342153,-5.04562557909017,-2.02475765158893
2 km,p93,min,1,-3.62274248385395,1.02783153196676,-5.6372922865088,-1.6081926811991
2 km,p93,min,2,-3.76190486791429,1.02621856797722,-5.77329326114964,-1.75051647467894
2 km,p93,min,3,-5.2806845037328,1.60076709916073,-8.41818801808782,-2.14318098937777
2 km,p93,min,4,-5.10722067707883,1.39236038160639,-7.83624702502736,-2.37819432913031
2 km,pdi,max,-4,-1.11887228823813,1.22455865254495,-3.51900724722624,1.28126267074998
2 km,pdi,max,-3,-0.632231793028259,1.31932109988894,-3.21810114881059,1.95363756275407
2 km,pdi,max,-2,-1.50058698337754,1.16286960452065,-3.77981140823801,0.778637441482921
2 km,pdi,max,-1,0,0,0,0
2 km,pdi,max,0,-2.3691767442622,1.45439869073922,-5.21979817811106,0.481444689586664
2 km,pdi,max,1,-0.79638651290964,1.70018592783866,-4.12875093147341,2.53597790565413
2 km,pdi,max,2,-2.1897123618423,1.25736162174546,-4.6541411404634,0.274716416778793
2 km,pdi,max,3,-2.91942257482329,1.21308551479204,-5.29707018381568,-0.541774965830892
2 km,pdi,max,4,-2.73674393241717,1.50341791061556,-5.68344303722368,0.209955172389335
2 km,pdi,media,-4,0.222487204523593,0.756561957255182,-1.26037423169656,1.70534864074375
2 km,pdi,media,-3,0.332332423527707,0.473024331907819,-0.594795267011618,1.25946011406703
2 km,pdi,media,-2,0.29993118860025,0.310242680878694,-0.30814446592199,0.90800684312249
2 km,pdi,media,-1,0,0,0,0
2 km,pdi,media,0,-1.96057594407518,0.506389346205778,-2.95309906263851,-0.96805282551186
2 km,pdi,media,1,-2.11045100599482,0.578227416294774,-3.24377674193258,-0.977125270057062
2 km,pdi,media,2,-2.31060912970535,0.633091651588954,-3.5514687668197,-1.069749492591
2 km,pdi,media,3,-3.1239803714198,0.739431135218941,-4.57326539644892,-1.67469534639067
2 km,pdi,media,4,-3.30874110431287,1.01467538487726,-5.29750485867229,-1.31997734995344
2 km,pdi,min,-4,-0.264243299288625,0.86724998839261,-1.96405327653814,1.43556667796089
2 km,pdi,min,-3,-0.295997747907479,0.689109348615289,-1.64665207119345,1.05465657537849
2 km,pdi,min,-2,0.0796497840895664,0.468206512740302,-0.838034980881426,0.997334549060558
2 km,pdi,min,-1,0,0,0,0
2 km,pdi,min,0,-3.24374542013591,0.76709128650006,-4.74724434167603,-1.74024649859579
2 km,pdi,min,1,-2.65075278682802,0.733022285692896,-4.08747646678609,-1.21402910686994
2 km,pdi,min,2,-3.34370160539503,0.918367553878539,-5.14370201099697,-1.5437011997931
2 km,pdi,min,3,-5.58952839167626,1.40173020565221,-8.3369195947546,-2.84213718859793
2 km,pdi,min,4,-4.52687055739043,1.18109450611802,-6.84181578938176,-2.2119253253991
