horizon,group,beta_up,se_up,beta_down,se_down,asym,se_asym,t_asym,n,dimension,asym_low,asym_high
12,media,0.798908133833669,0.00568412330742269,0.834505122725401,0.00366086236265739,-0.0355969888917315,0.00752813697151129,-4.72852566663453,1060154,competencia,-0.0503521373558936,-0.0208418404275693
0,mucha,0.484711843931697,0.013388310666205,0.797431721763518,0.00515110856037379,-0.312719877831821,0.0138340822262489,-22.6050324638423,1038136,competencia,-0.339834678995269,-0.285605076668373
1,mucha,0.615931263892129,0.0118437511103347,0.845148069745191,0.00450965585481468,-0.229216805853062,0.0143571537453727,-15.965337553548,1038136,competencia,-0.257356827193992,-0.201076784512131
2,mucha,0.674081587143593,0.0109133216503293,0.853051393586622,0.00476287293531557,-0.178969806443029,0.0140695968594408,-12.7203222829329,1038136,competencia,-0.206546216287533,-0.151393396598525
3,mucha,0.670193446468034,0.011765994568337,0.852459736312652,0.00479225247190246,-0.182266289844618,0.0149762783758744,-12.1703326600976,1038136,competencia,-0.211619795461332,-0.152912784227904
4,mucha,0.70435192637858,0.010716764079171,0.846660128596635,0.00466858566644232,-0.142308202218055,0.0138408713958419,-10.2817371932816,1038136,competencia,-0.169436310153906,-0.115180094282205
5,mucha,0.727347997503185,0.00996248649989366,0.842780283461942,0.00458403661868543,-0.115432285958758,0.0130264277860312,-8.86139222930641,1038136,competencia,-0.140964084419379,-0.0899004874981369
6,mucha,0.734380503152114,0.00967009921063909,0.842149745296222,0.00445568435367271,-0.107769242144109,0.0125755594375778,-8.5697374084271,1038136,competencia,-0.132417338641761,-0.0831211456464563
7,mucha,0.749313740025703,0.00898144445629767,0.838175947655312,0.00428494807135142,-0.0888622076296095,0.0116369587376577,-7.63620544103567,1038136,competencia,-0.111670646755419,-0.0660537685038004
8,mucha,0.758438439445124,0.00848523377755453,0.837927317775332,0.0041635834317518,-0.079488878330208,0.0110073426171812,-7.22144127740107,1038136,competencia,-0.101063269859883,-0.0579144868005329
9,mucha,0.75671327092379,0.00869725508763764,0.843886274751668,0.00417080770192107,-0.0871730038278777,0.0112970899006899,-7.71641233221966,1038136,competencia,-0.10931530003323,-0.0650307076225255
10,mucha,0.7631213742461,0.00840349195402057,0.842433078387009,0.00405169569560512,-0.0793117041409098,0.0108356703960765,-7.3195013544919,1038136,competencia,-0.10054961811722,-0.0580737901645998
11,mucha,0.769682190367223,0.00783511502683732,0.840439201928844,0.00392532312954628,-0.0707570115616202,0.0100650794642036,-7.02995061422689,1038136,competencia,-0.0904845673114591,-0.0510294558117812
12,mucha,0.779129697098761,0.00748305201073901,0.844636146680882,0.00389865876674441,-0.0655064495821209,0.0097192915399419,-6.73983791029613,1038136,competencia,-0.0845562610004071,-0.0464566381638348
0,aramco_petrobras,0.53939844205314,0.0137436068866523,0.742413207893905,0.00828230324376884,-0.203014765840765,0.0178938985015956,-11.3454743147594,567633,marca,-0.238086806903892,-0.167942724777637
1,aramco_petrobras,0.664246797582534,0.0113074448875016,0.797762955249583,0.00715121523424383,-0.133516157667049,0.0160702460845201,-8.30828333087323,567633,marca,-0.165013839992709,-0.10201847534139
2,aramco_petrobras,0.722917145540685,0.00981341212758622,0.812830573421215,0.00681441092340283,-0.0899134278805299,0.0146562678007282,-6.13481065596131,567633,marca,-0.118639712769957,-0.0611871429911027
3,aramco_petrobras,0.736692289736641,0.00926169058177595,0.808982731061319,0.00590186365154566,-0.0722904413246785,0.0132668135418096,-5.4489679150807,567633,marca,-0.0982933958666253,-0.0462874867827317
4,aramco_petrobras,0.761845138690632,0.0085228418752013,0.806528507259598,0.00559878839475792,-0.044683368568966,0.012171476124903,-3.6711544360296,567633,marca,-0.068539461773776,-0.0208272753641561
5,aramco_petrobras,0.778597503466301,0.00817119011264397,0.8064218786854,0.00540488533175406,-0.027824375219099,0.0116643917065697,-2.38541159445353,567633,marca,-0.0506865829639756,-0.00496216747422235
