rel,estimate,se,estimador,outcome,ci_low,ci_high
-3,-0.0902730502622613,0.0910967168942674,TWFE,p97,-0.268822615375025,0.0882765148505029
-2,-0.0107146440237955,0.0966303849138876,TWFE,p97,-0.200110198455015,0.178680910407424
-1,0,0,TWFE,p97,0,0
0,-0.146215473479642,0.0929396988550002,TWFE,p97,-0.328377283235442,0.0359463362761585
1,-0.334855999460457,0.117897996093636,TWFE,p97,-0.565936071803984,-0.103775927116931
2,-0.19494385289882,0.111652094651007,TWFE,p97,-0.413781958414793,0.0238942526171539
3,-0.1416179498427,0.105725733616187,TWFE,p97,-0.348840387730428,0.065604488045027
4,-0.233317243447072,0.143654449798853,TWFE,p97,-0.514879965052824,0.0482454781586794
-4,-0.115713543781809,0.0933855118783284,Sun-Abraham (IW),pdi,-0.298749147063333,0.0673220594997148
-3,-0.0304808626679096,0.080095288121694,Sun-Abraham (IW),pdi,-0.18746762738643,0.126505902050611
-2,0.0518306597014706,0.0780775162375243,Sun-Abraham (IW),pdi,-0.101201272124077,0.204862591527018
-1,0,0,Sun-Abraham (IW),pdi,0,0
0,-0.314593175545691,0.0952456740322317,Sun-Abraham (IW),pdi,-0.501274696648865,-0.127911654442517
1,-0.636555396993886,0.153326568393398,Sun-Abraham (IW),pdi,-0.937075471044946,-0.336035322942826
2,-0.348796454391726,0.116441199629232,Sun-Abraham (IW),pdi,-0.57702120566502,-0.120571703118432
3,-0.53897264902988,0.125161999354397,Sun-Abraham (IW),pdi,-0.784290167764498,-0.293655130295263
4,-0.688252240773582,0.134590871283211,Sun-Abraham (IW),pdi,-0.952050348488675,-0.424454133058488
-4,-0.0365530865335821,0.113688299384229,TWFE,pdi,-0.259382153326671,0.186275980259506
-3,-0.0179264902133889,0.0867155967956277,TWFE,pdi,-0.187889059932819,0.152036079506042
-2,0.0584974168308772,0.0813937584240887,TWFE,pdi,-0.101034349680337,0.218029183342091
-1,0,0,TWFE,pdi,0,0
0,-0.298723733556082,0.105469545953438,TWFE,pdi,-0.50544404362482,-0.0920034234873444
1,-0.623682148996323,0.189510864863065,TWFE,pdi,-0.995123444127931,-0.252240853864715
2,-0.362876665927556,0.126102365840036,TWFE,pdi,-0.610037302974026,-0.115716028881086
3,-0.515298416470071,0.132880001543939,TWFE,pdi,-0.775743219496192,-0.25485361344395
4,-0.656195475766625,0.156373221981618,TWFE,pdi,-0.962686990850596,-0.349703960682654
