horizon,group,estimate,se,dimension,ci_low,ci_high
1,aramco_petrobras,0.669091996919669,0.0140098525426083,marca,0.641632685936156,0.696551307903181
2,aramco_petrobras,0.732520891819274,0.0154387517538867,marca,0.702260938381656,0.762780845256892
3,aramco_petrobras,0.824728979979451,0.0172837723934288,marca,0.79085278608833,0.858605173870571
4,aramco_petrobras,0.886940576907757,0.0183772623314496,marca,0.850921142738116,0.922960011077398
5,aramco_petrobras,0.924137902223111,0.0191780292146349,marca,0.886548964962427,0.961726839483796
6,aramco_petrobras,0.964467502868631,0.0201150977798583,marca,0.925041911220108,1.00389309451715
7,aramco_petrobras,0.993842714307793,0.0209808127163412,marca,0.952720321383764,1.03496510723182
8,aramco_petrobras,1.01898652257649,0.021978318515651,marca,0.975909018285817,1.06206402686717
9,aramco_petrobras,1.00799918941472,0.0218815835071963,marca,0.965111285740617,1.05088709308883
10,aramco_petrobras,1.00334505702769,0.0221676749967426,marca,0.959896414034071,1.0467937000213
11,aramco_petrobras,1.00950416368925,0.0229569312269441,marca,0.964508578484436,1.05449974889406
12,aramco_petrobras,0.92731030422553,0.021373107008038,marca,0.885419014489776,0.969201593961284
0,copec,0.690198351172175,0.0108617731111676,marca,0.668909275874286,0.711487426470063
1,copec,0.807182366960884,0.0121565882810465,marca,0.783355453930033,0.831009279991735
2,copec,0.875039811250186,0.0130675369793797,marca,0.849427438770601,0.90065218372977
3,copec,0.985506620042139,0.0149677796725465,marca,0.956169771883948,1.01484346820033
4,copec,1.04615841366835,0.0155700583740694,marca,1.01564109925518,1.07667572808153
5,copec,1.08781410072312,0.0159967575474694,marca,1.05646045593008,1.11916774551616
6,copec,1.13027138635254,0.0165513110759285,marca,1.09783081664372,1.16271195606136
7,copec,1.16465808530652,0.0172644570645071,marca,1.13081974946008,1.19849642115295
8,copec,1.19853124432942,0.017984919841382,marca,1.16328080144031,1.23378168721853
9,copec,1.16734435422562,0.017369616652441,marca,1.13329990558684,1.20138880286441
10,copec,1.17370930782797,0.0178155230328216,marca,1.13879088268364,1.20862773297231
11,copec,1.18344033214666,0.0184697983643001,marca,1.14723952735263,1.21964113694069
12,copec,1.0430754346677,0.0159401504083635,marca,1.01183273986731,1.0743181294681
0,independiente,0.671989037075242,0.0188250099980059,marca,0.63509201747915,0.708886056671333
1,independiente,0.852510086539566,0.0161098748732488,marca,0.820934731787998,0.884085441291133
2,independiente,0.949421920402911,0.0154591702618787,marca,0.919121946689628,0.979721894116193
3,independiente,1.08131506232123,0.0164467720677782,marca,1.04907938906838,1.11355073557407
4,independiente,1.16603610756319,0.016258337360091,marca,1.13416976633741,1.19790244878897
5,independiente,1.22050958415188,0.0164493552956164,marca,1.18826884777247,1.25275032053129
6,independiente,1.26894109169811,0.0166383370937591,marca,1.23632995099434,1.30155223240187
7,independiente,1.31055351058801,0.0177461536840537,marca,1.27577104936727,1.34533597180876
8,independiente,1.35273766202421,0.0184043156540238,marca,1.31666520334233,1.3888101207061
9,independiente,1.31624597903708,0.0186140285365188,marca,1.27976248310551,1.35272947496866
10,independiente,1.32155654644726,0.0195682079413949,marca,1.28320285888213,1.3599102340124
11,independiente,1.33845173944621,0.0205594824238572,marca,1.29815515389545,1.37874832499697
12,independiente,1.17199001092319,0.0204928699778443,marca,1.13182398576662,1.21215603607977
0,shell,0.424784361221012,0.00799750053692643,marca,0.409109260168636,0.440459462273388
1,shell,0.487953748719655,0.00920809174126197,marca,0.469905888906782,0.506001608532528
2,shell,0.540986965692235,0.00969017394022328,marca,0.521994224769398,0.559979706615073
3,shell,0.600740758227376,0.011212047976314,marca,0.578765144193801,0.622716372260952
4,shell,0.651472813827261,0.0123014153997878,marca,0.627362039643677,0.675583588010845
5,shell,0.683879451279354,0.0128059432466312,marca,0.658779802515957,0.708979100042751
6,shell,0.716689397583325,0.0131020026211669,marca,0.691009472445837,0.742369322720812
7,shell,0.740043914516242,0.0133351476552131,marca,0.713907025112025,0.76618080392046
8,shell,0.758936860547043,0.0133620091876035,marca,0.73274732253934,0.785126398554746
9,shell,0.761243306606201,0.0129394773726554,marca,0.735881930955796,0.786604682256605
10,shell,0.759365327692613,0.0124985410397483,marca,0.734868187254706,0.78386246813052
11,shell,0.754107025346819,0.0123583455895317,marca,0.729884667991337,0.778329382702301
12,shell,0.733316634237968,0.0116807096447311,marca,0.710422443334295,0.756210825141641
0,baja,0.626507293400096,0.0103976338666319,competidores_2km,0.606127931021497,0.646886655778694
1,baja,0.745065442422333,0.0115495422005164,competidores_2km,0.722428339709321,0.767702545135345
2,baja,0.812320661125665,0.0122725108237368,competidores_2km,0.788266539911141,0.836374782340189
3,baja,0.917050093230592,0.0139676063210089,competidores_2km,0.889673584841415,0.944426601619769
4,baja,0.980028055135243,0.014652921067737,competidores_2km,0.951308329842479,1.00874778042801
5,baja,1.02113372560129,0.0151438866542815,competidores_2km,0.9914517077589,1.05081574344368
6,baja,1.06020552228309,0.0157567669961154,competidores_2km,1.0293222589707,1.09108878559547
7,baja,1.09152645623633,0.0163692324307992,competidores_2km,1.05944276067196,1.12361015180069
8,baja,1.12122451892102,0.0169437094904838,competidores_2km,1.08801484831967,1.15443418952237
9,baja,1.09791654630516,0.016173400683541,competidores_2km,1.06621668096542,1.1296164116449
10,baja,1.10014328575829,0.0164285471194629,competidores_2km,1.06794333340414,1.13234323811244
